Life of Brian,1979," Graham Chapman, John Cleese",Terry Jones ,https://www.imdb.com/title/tt0079470/
Babam ve Oglum,2005," Çetin Tekindor, Fikret Kuskan",Cagan Irmak ,https://www.imdb.com/title/tt0476735/
It Happened One Night,1934," Clark Gable, Claudette Colbert",Frank Capra ,https://www.imdb.com/title/tt0025316/
The Sound of Music,1965," Julie Andrews, Christopher Plummer",Robert Wise ,https://www.imdb.com/title/tt0059742/
Ah-ga-ssi,2016," Kim Min-hee, Ha Jung-woo",Park Chan-wook ,https://www.imdb.com/title/tt4016934/
Aladdin,1992," Scott Weinger, Robin Williams",Ron Clements ,https://www.imdb.com/title/tt0103639/
Gandhi,1982," Ben Kingsley, John Gielgud",Richard Attenborough ,https://www.imdb.com/title/tt0083987/
The Help,2011," Emma Stone, Viola Davis",Tate Taylor ,https://www.imdb.com/title/tt1454029/
Jai Bhim,2021," Suriya, Lijo Mol Jose",T.J. Gnanavel ,https://www.imdb.com/title/tt15097216/
Beauty and the Beast,1991," Paige O'Hara, Robby Benson",Gary Trousdale ,https://www.imdb.com/title/tt0101414/
