Hotaru no haka,1988," Tsutomu Tatsumi, Ayano Shiraishi",Isao Takahata ,https://www.imdb.com/title/tt0095327/
Rear Window,1954," James Stewart, Grace Kelly",Alfred Hitchcock ,https://www.imdb.com/title/tt0047396/
Alien,1979," Sigourney Weaver, Tom Skerritt",Ridley Scott ,https://www.imdb.com/title/tt0078748/
City Lights,1931," Charles Chaplin, Virginia Cherrill",Charles Chaplin ,https://www.imdb.com/title/tt0021749/
Nuovo Cinema Paradiso,1988," Philippe Noiret, Enzo Cannavale",Giuseppe Tornatore ,https://www.imdb.com/title/tt0095765/
Memento,2000," Guy Pearce, Carrie-Anne Moss",Christopher Nolan ,https://www.imdb.com/title/tt0209144/
Apocalypse Now,1979," Martin Sheen, Marlon Brando",Francis Ford Coppola ,https://www.imdb.com/title/tt0078788/
Raiders of the Lost Ark,1981," Harrison Ford, Karen Allen",Steven Spielberg ,https://www.imdb.com/title/tt0082971/
Django Unchained,2012," Jamie Foxx, Christoph Waltz",Quentin Tarantino ,https://www.imdb.com/title/tt1853728/
WALL·E,2008," Ben Burtt, Elissa Knight",Andrew Stanton ,https://www.imdb.com/title/tt0910970/
The Lives of Others,2006," Ulrich Mühe, Martina Gedeck",Florian Henckel von Donnersmarck ,https://www.imdb.com/title/tt0405094/
Sunset Blvd.,1950," William Holden, Gloria Swanson",Billy Wilder ,https://www.imdb.com/title/tt0043014/
Paths of Glory,1957," Kirk Douglas, Ralph Meeker",Stanley Kubrick ,https://www.imdb.com/title/tt0050825/
The Shining,1980," Jack Nicholson, Shelley Duvall",Stanley Kubrick ,https://www.imdb.com/title/tt0081505/
The Great Dictator,1940," Charles Chaplin, Paulette Goddard",Charles Chaplin ,https://www.imdb.com/title/tt0032553/
Witness for the Prosecution,1957," Tyrone Power, Marlene Dietrich",Billy Wilder ,https://www.imdb.com/title/tt0051201/
Avengers: Infinity War,2018," Robert Downey Jr., Chris Hemsworth",Anthony Russo ,https://www.imdb.com/title/tt4154756/
Aliens,1986," Sigourney Weaver, Michael Biehn",James Cameron ,https://www.imdb.com/title/tt0090605/
American Beauty,1999," Kevin Spacey, Annette Bening",Sam Mendes ,https://www.imdb.com/title/tt0169547/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964," Peter Sellers, George C. Scott",Stanley Kubrick ,https://www.imdb.com/title/tt0057012/
The Dark Knight Rises,2012," Christian Bale, Tom Hardy",Christopher Nolan ,https://www.imdb.com/title/tt1345836/
Spider-Man: Into the Spider-Verse,2018," Shameik Moore, Jake Johnson",Bob Persichetti ,https://www.imdb.com/title/tt4633694/
Joker,2019," Joaquin Phoenix, Robert De Niro",Todd Phillips ,https://www.imdb.com/title/tt7286456/
Oldeuboi,2003," Choi Min-sik, Yoo Ji-Tae",Park Chan-wook ,https://www.imdb.com/title/tt0364569/
